Date,"Monday, February 13, 2023"
,
Trail,6
Seconds - s,30
Starting Temp - C,179.5 +- 0.5
Ending Temp - C,176.5 +- 0.3
Retarding Voltage - V,1.5025 +- 0.0005
Result,Success
Notes,No temperature during
time (s),V1 Potential 3
0,-0.347204337
0.02,1.380444014
0.04,0.228678446
0.06,-0.923087121
0.08,-1.498969905
0.1,-0.923087121
0.12,0.80456123
0.14,-0.347204337
0.16,-1.498969905
0.18,-1.498969905
0.2,-0.347204337
0.22,1.380444014
0.24,-0.347204337
0.26,-0.923087121
0.28,-2.074852689
0.3,-0.923087121
0.32,1.380444014
0.34,-0.347204337
0.36,-1.498969905
0.38,-2.074852689
0.4,-0.923087121
0.42,1.380444014
0.44,-0.347204337
0.46,-0.923087121
0.48,-2.074852689
0.5,-0.923087121
0.52,1.380444014
0.54,-0.923087121
0.56,-0.923087121
0.58,-2.074852689
0.6,-0.347204337
0.62,1.380444014
0.64,-0.347204337
0.66,-0.923087121
0.68,-2.074852689
0.7,-0.923087121
0.72,0.80456123
0.74,-0.923087121
0.76,-1.498969905
0.78,-2.074852689
0.8,-0.347204337
0.82,1.380444014
0.84,-0.347204337
0.86,-0.923087121
0.88,-2.074852689
0.9,-0.923087121
0.92,0.80456123
0.94,-0.923087121
0.96,-1.498969905
0.98,-2.650735473
1,-0.923087121
1.02,1.380444014
1.04,-0.347204337
1.06,-0.923087121
1.08,-1.498969905
1.1,-0.923087121
1.12,0.80456123
1.14,-0.923087121
1.16,-1.498969905
1.18,-2.074852689
1.2,-0.923087121
1.22,0.80456123
1.24,-0.347204337
1.26,-0.923087121
1.28,-2.074852689
1.3,-0.923087121
1.32,0.80456123
1.34,-0.923087121
1.36,-1.498969905
1.38,-2.074852689
1.4,-0.923087121
1.42,1.380444014
1.44,-0.923087121
1.46,-0.923087121
1.48,-2.074852689
1.5,-0.923087121
1.52,0.80456123
1.54,-0.923087121
1.56,-0.923087121
1.58,-2.074852689
1.6,-1.498969905
1.62,1.380444014
1.64,-0.347204337
1.66,-1.498969905
1.68,-2.074852689
1.7,-1.498969905
1.72,0.80456123
1.74,-0.923087121
1.76,-1.498969905
1.78,-2.074852689
1.8,-0.923087121
1.82,1.380444014
1.84,-0.347204337
1.86,-0.923087121
1.88,-1.498969905
1.9,-0.923087121
1.92,0.80456123
1.94,-0.923087121
1.96,-1.498969905
1.98,-2.074852689
2,-1.498969905
2.02,0.80456123
2.04,-0.347204337
2.06,-0.923087121
2.08,-1.498969905
2.1,-0.923087121
2.12,0.80456123
2.14,-0.923087121
2.16,-1.498969905
2.18,-2.074852689
2.2,-1.498969905
2.22,0.80456123
2.24,-0.347204337
2.26,-0.923087121
2.28,-1.498969905
2.3,-0.923087121
2.32,1.380444014
2.34,-0.923087121
2.36,-1.498969905
2.38,-2.074852689
2.4,-1.498969905
2.42,0.80456123
2.44,-0.347204337
2.46,-0.923087121
2.48,-1.498969905
2.5,-1.498969905
2.52,0.80456123
2.54,-0.923087121
2.56,-1.498969905
2.58,-2.074852689
2.6,-1.498969905
2.62,0.80456123
2.64,-0.347204337
2.66,-0.347204337
2.68,-1.498969905
2.7,-1.498969905
2.72,0.80456123
2.74,-0.923087121
2.76,-1.498969905
2.78,-2.074852689
2.8,-1.498969905
2.82,1.380444014
2.84,-0.347204337
2.86,-0.923087121
2.88,-1.498969905
2.9,-0.923087121
2.92,1.380444014
