Date,,2/20/2023
Trial,,1
Measurement,,Ramping Voltage (channel 2)
Oven Status,,On
Temp Start (C),181.5,0.5
Temp End(C),,
Filament Current (A),0.23,0.02
Retarding Voltage (V),,
,,
time (s),pot 2 (V),pot 3 (mV1V+-)
0,-0.003255958877,0.2687679505
0.02,-0.003255958877,-0.3071148333
0.04,-3.26E-03,-3.07E-01
0.06,-0.003255958877,0.2687679505
0.08,-0.003255958877,-0.8829976172
0.1,-0.008139963761,-0.3071148333
0.12,-0.008139963761,0.2687679505
0.14,-0.008139963761,-0.8829976172
0.16,-0.003255958877,-0.3071148333
0.18,-0.008139963761,-0.3071148333
0.2,-0.008139963761,-0.8829976172
0.22,-0.003255958877,-0.3071148333
0.24,0.006512050891,0.2687679505
0.26,1.14E-02,-3.07E-01
0.28,1.14E-02,2.69E-01
0.3,2.12E-02,2.69E-01
0.32,0.02604807043,-0.8829976172
0.34,0.02604807043,0.2687679505
0.36,0.03093207531,0.2687679505
0.38,0.03093207531,-0.8829976172
0.4,0.04070008508,0.2687679505
0.42,0.04558408996,-0.3071148333
0.44,0.04558408996,-0.8829976172
0.46,0.05046809485,-0.3071148333
0.48,0.05535209973,-0.3071148333
0.5,0.0651201095,-0.8829976172
0.52,0.07000411438,0.2687679505
0.54,0.07977212415,-0.8829976172
0.56,7.98E-02,-3.07E-01
0.58,0.08465612904,0.2687679505
0.6,0.08954013392,-0.3071148333
0.62,0.08465612904,-0.3071148333
0.64,0.0944241388,0.2687679505
0.66,0.09930814369,-0.8829976172
0.68,0.09930814369,-0.3071148333
0.7,0.1090761535,-0.3071148333
0.72,0.1139601583,-0.8829976172
0.74,0.1188441632,-0.3071148333
0.76,0.1237281681,-0.3071148333
0.78,1.29E-01,-8.83E-01
0.8,0.1334961779,-0.3071148333
0.82,1.43E-01,2.69E-01
0.84,1.43E-01,-8.83E-01
0.86,0.1530321974,-0.3071148333
0.88,1.53E-01,-3.07E-01
0.9,0.1579162023,-0.8829976172
0.92,0.1676842121,-0.3071148333
0.94,0.1676842121,0.2687679505
0.96,0.1725682169,-0.3071148333
0.98,0.1725682169,0.2687679505
1,0.1872202316,0.2687679505
1.02,0.1872202316,-0.3071148333
1.04,1.92E-01,2.69E-01
1.06,1.97E-01,2.69E-01
1.08,0.2018722463,-0.3071148333
1.1,0.2067562511,0.2687679505
1.12,0.211640256,-0.3071148333
1.14,2.12E-01,-8.83E-01
1.16,0.2165242609,-0.3071148333
1.18,0.2262922707,-0.8829976172
1.2,0.2311762756,-0.8829976172
1.22,0.2311762756,-0.3071148333
1.24,0.2360602804,-0.8829976172
1.26,0.2409442853,-0.8829976172
1.28,0.2458282902,-0.3071148333
1.3,0.2555963,-0.8829976172
1.32,2.56E-01,-3.07E-01
1.34,0.2702483146,0.2687679505
1.36,0.2653643097,-0.3071148333
1.38,0.2751323195,-0.3071148333
1.4,0.2751323195,0.2687679505
1.42,0.2849003293,-0.8829976172
1.44,0.2800163244,-0.3071148333
1.46,0.2849003293,-0.3071148333
1.48,0.294668339,-0.8829976172
1.5,0.294668339,-0.3071148333
1.52,0.2995523439,0.2687679505
1.54,0.3093203537,-0.8829976172
1.56,0.3142043586,-0.3071148333
1.58,3.24E-01,-3.07E-01
1.6,3.24E-01,-3.07E-01
1.62,3.29E-01,-3.07E-01
1.64,0.3337403781,0.2687679505
1.66,0.3337403781,-0.8829976172
1.68,0.3435083879,-0.3071148333
1.7,3.44E-01,-3.07E-01
1.72,0.3483923928,-0.8829976172
1.74,0.3581604025,0.2687679505
1.76,0.3581604025,0.2687679505
1.78,0.3630444074,-0.3071148333
1.8,0.3728124172,0.2687679505
1.82,0.3728124172,0.2687679505
1.84,0.3728124172,-0.8829976172
1.86,3.78E-01,2.69E-01
1.88,0.3874644318,-0.3071148333
1.9,0.3874644318,-0.8829976172
1.92,0.3923484367,-0.3071148333
1.94,0.4021164465,-0.3071148333
1.96,0.4118844563,-0.8829976172
1.98,0.4118844563,0.2687679505
2,0.4118844563,-0.3071148333
2.02,0.421652466,-0.3071148333
2.04,0.421652466,0.2687679505
2.06,0.4265364709,-0.3071148333
2.08,0.4314204758,-0.3071148333
2.1,0.4411884856,0.2687679505
2.12,4.46E-01,-8.83E-01
2.14,0.4460724905,-0.8829976172
2.16,0.4509564953,0.2687679505
2.18,4.56E-01,-8.83E-01
2.2,0.4607245051,-0.8829976172
2.22,0.46560851,-0.3071148333
2.24,0.4704925149,-0.8829976172
2.26,0.4704925149,-0.8829976172
2.28,0.4802605246,-0.3071148333
2.3,0.4851445295,-0.3071148333
2.32,0.4900285344,-0.3071148333
2.34,0.4997965442,0.2687679505
2.36,0.4949125393,-0.8829976172
2.38,0.5046805491,-0.3071148333
2.4,0.5046805491,0.2687679505
2.42,5.10E-01,-8.83E-01
2.44,0.5144485588,-0.3071148333
2.46,0.5144485588,-0.3071148333
2.48,0.5193325637,-0.8829976172
2.5,0.5291005735,-0.3071148333
2.52,0.5339845784,-0.3071148333
2.54,0.5388685832,-0.8829976172
2.56,0.5437525881,0.2687679505
2.58,0.5437525881,0.2687679505
2.6,0.5584046028,-0.8829976172
2.62,0.5632886077,0.2687679505
2.64,0.5681726126,0.2687679505
2.66,5.68E-01,-3.07E-01
2.68,0.5730566174,0.2687679505
2.7,0.5730566174,-0.3071148333
2.72,0.5779406223,-0.8829976172
2.74,0.5828246272,-0.3071148333
2.76,5.88E-01,-3.07E-01
2.78,0.5877086321,-0.8829976172
2.8,0.592592637,-0.3071148333
2.82,0.6023606467,0.2687679505
2.84,0.6121286565,-0.8829976172
2.86,0.6121286565,-0.3071148333
2.88,0.6170126614,0.2687679505
2.9,6.27E-01,-8.83E-01
2.92,0.6267806712,-0.3071148333
2.94,0.631664676,0.2687679505
2.96,0.6365486809,-0.8829976172
2.98,0.6365486809,-0.3071148333
3,0.6414326858,-0.3071148333
3.02,0.6463166907,-0.8829976172
3.04,0.6512006956,-0.3071148333
3.06,0.6560847005,0.2687679505
3.08,0.6609687053,-0.8829976172
3.1,6.66E-01,2.69E-01
3.12,0.67562072,0.2687679505
3.14,6.76E-01,-8.83E-01
3.16,0.6853887298,0.2687679505
3.18,0.6853887298,0.2687679505
3.2,6.95E-01,-3.07E-01
3.22,0.6951567395,-0.3071148333
3.24,0.6951567395,0.2687679505
3.26,0.7000407444,-0.8829976172
3.28,0.7049247493,-0.3071148333
3.3,0.7049247493,-0.3071148333
3.32,0.7146927591,-0.8829976172
3.34,0.7146927591,-0.3071148333
3.36,0.7244607688,-0.3071148333
3.38,0.7342287786,-0.8829976172
3.4,0.7391127835,-0.3071148333
3.42,0.7439967884,0.2687679505
3.44,0.7537647981,-0.8829976172
3.46,0.7537647981,0.2687679505
3.48,0.7439967884,-0.3071148333
3.5,0.7537647981,-0.8829976172
3.52,0.758648803,-0.3071148333
3.54,0.7635328079,0.2687679505
3.56,0.7684168128,-0.8829976172
3.58,0.7684168128,-0.3071148333
3.6,0.7781848226,-0.3071148333
3.62,7.83E-01,-8.83E-01
3.64,0.7879528323,-0.3071148333
3.66,0.7977208421,-0.3071148333
3.68,0.7977208421,-0.8829976172
3.7,0.802604847,0.2687679505
3.72,0.8123728568,0.2687679505
3.74,0.8123728568,-0.3071148333
3.76,0.8172568616,0.2687679505
3.78,0.8172568616,0.2687679505
3.8,0.8221408665,-0.8829976172
3.82,0.8270248714,-0.3071148333
3.84,0.8319088763,-0.3071148333
3.86,0.8367928812,-0.8829976172
3.88,8.42E-01,-3.07E-01
3.9,8.47E-01,2.69E-01
3.92,8.51E-01,-8.83E-01
3.94,0.8514448958,0.2687679505
3.96,8.61E-01,2.69E-01
3.98,8.61E-01,-8.83E-01
4,0.8709809154,-0.3071148333
4.02,0.8758649202,-0.3071148333
4.04,0.8807489251,-0.3071148333
4.06,0.88563293,0.2687679505
4.08,0.8905169349,-0.3071148333
4.1,0.8905169349,-0.8829976172
4.12,0.8954009398,0.2687679505
4.14,0.9051689495,0.2687679505
4.16,0.9051689495,-0.8829976172
4.18,0.9100529544,0.2687679505
4.2,9.10E-01,-3.07E-01
4.22,0.9198209642,-0.3071148333
4.24,0.9198209642,-0.3071148333
4.26,0.9247049691,-0.3071148333
4.28,0.929588974,-0.8829976172
4.3,0.9393569837,-0.3071148333
4.32,0.9442409886,-0.3071148333
4.34,0.9442409886,-0.8829976172
4.36,9.49E-01,-3.07E-01
4.38,0.9540089984,-0.3071148333
4.4,0.9588930033,-0.3071148333
4.42,0.9588930033,-0.3071148333
4.44,0.968661013,-0.3071148333
4.46,9.69E-01,-8.83E-01
4.48,0.9784290228,-0.3071148333
4.5,0.9833130277,-0.8829976172
4.52,9.83E-01,-8.83E-01
4.54,0.9881970326,-0.3071148333
4.56,0.9930810375,-0.8829976172
4.58,0.9979650423,-0.8829976172
4.6,1.002849047,0.2687679505
4.62,1.007733052,-0.8829976172
4.64,1.012617057,-0.3071148333
4.66,1.022385067,0.2687679505
4.68,1.022385067,-0.8829976172
4.7,1.022385067,-0.3071148333
4.72,1.027269072,0.2687679505
4.74,1.032153077,-0.8829976172
4.76,1.04E+00,-8.83E-01
4.78,1.037037081,-0.3071148333
4.8,1.046805091,-0.8829976172
4.82,1.046805091,-0.8829976172
4.84,1.061457106,-0.3071148333
4.86,1.056573101,-0.8829976172
4.88,1.066341111,-0.8829976172
4.9,1.066341111,0.2687679505
4.92,1.071225116,-0.8829976172
4.94,1.080993125,-0.3071148333
4.96,1.080993125,0.2687679505
4.98,1.080993125,-0.8829976172
5,1.09E+00,-8.83E-01
5.02,1.09564514,-0.3071148333
5.04,1.09564514,-0.8829976172
5.06,1.100529145,-0.3071148333
5.08,1.10541315,0.2687679505
5.1,1.110297155,-0.8829976172
5.12,1.11518116,-0.3071148333
5.14,1.120065164,0.2687679505
5.16,1.129833174,-0.3071148333
5.18,1.13E+00,-3.07E-01
5.2,1.134717179,0.2687679505
5.22,1.139601184,-0.3071148333
5.24,1.14E+00,-3.07E-01
5.26,1.149369194,0.2687679505
5.28,1.15E+00,-8.83E-01
5.3,1.154253199,-0.3071148333
5.32,1.159137204,-0.3071148333
5.34,1.159137204,-0.8829976172
5.36,1.164021208,-0.3071148333
5.38,1.168905213,0.2687679505
5.4,1.173789218,-0.8829976172
5.42,1.178673223,-0.3071148333
5.44,1.188441233,0.2687679505
5.46,1.19E+00,-8.83E-01
5.48,1.193325238,-0.3071148333
5.5,1.203093247,0.2687679505
5.52,1.203093247,-0.3071148333
5.54,1.207977252,0.2687679505
5.56,1.21E+00,2.69E-01
5.58,1.212861257,-0.8829976172
5.6,1.217745262,-0.3071148333
5.62,1.227513272,-0.3071148333
5.64,1.23E+00,-8.83E-01
5.66,1.232397277,-0.3071148333
5.68,1.237281282,0.2687679505
5.7,1.242165287,-0.8829976172
5.72,1.247049291,-0.3071148333
5.74,1.256817301,0.2687679505
5.76,1.26E+00,-8.83E-01
5.78,1.266585311,0.2687679505
5.8,1.27E+00,2.69E-01
5.82,1.266585311,-0.8829976172
5.84,1.271469316,-0.3071148333
5.86,1.271469316,-0.3071148333
5.88,1.281237326,-0.8829976172
5.9,1.28E+00,-3.07E-01
5.92,1.286121331,-0.3071148333
5.94,1.29588934,-0.8829976172
5.96,1.30E+00,2.69E-01
5.98,1.300773345,0.2687679505
6,1.310541355,-0.3071148333
6.02,1.320309365,0.2687679505
6.04,1.31542536,0.2687679505
6.06,1.32519337,-0.3071148333
6.08,1.33E+00,-3.07E-01
6.1,1.330077374,-0.3071148333
6.12,1.334961379,-0.8829976172
6.14,1.339845384,-0.3071148333
6.16,1.339845384,-0.3071148333
6.18,1.344729389,-0.8829976172
6.2,1.349613394,-0.3071148333
6.22,1.359381404,0.2687679505
6.24,1.359381404,-0.3071148333
6.26,1.369149414,-0.3071148333
6.28,1.374033418,-0.3071148333
6.3,1.374033418,-0.3071148333
6.32,1.374033418,-0.3071148333
6.34,1.378917423,0.2687679505
6.36,1.383801428,-0.8829976172
6.38,1.388685433,-0.8829976172
6.4,1.388685433,-0.3071148333
6.42,1.398453443,-0.8829976172
6.44,1.398453443,-0.8829976172
6.46,1.408221453,0.2687679505
6.48,1.408221453,-0.8829976172
6.5,1.413105457,-0.8829976172
6.52,1.417989462,0.2687679505
6.54,1.43E+00,-3.07E-01
6.56,1.43E+00,-3.07E-01
6.58,1.432641477,0.2687679505
6.6,1.432641477,-0.8829976172
6.62,1.437525482,-0.8829976172
6.64,1.442409487,0.2687679505
6.66,1.447293492,-0.8829976172
6.68,1.447293492,-0.8829976172
6.7,1.45E+00,-3.07E-01
6.72,1.457061501,-0.8829976172
6.74,1.466829511,-0.8829976172
6.76,1.471713516,-0.3071148333
6.78,1.476597521,-0.8829976172
6.8,1.481481526,-0.3071148333
6.82,1.486365531,0.2687679505
6.84,1.49E+00,-3.07E-01
6.86,1.49E+00,-8.83E-01
6.88,1.491249536,-0.3071148333
6.9,1.496133541,-0.3071148333
6.92,1.501017545,-0.8829976172
6.94,1.50590155,-0.3071148333
6.96,1.510785555,-0.3071148333
6.98,1.51566956,-0.3071148333
7,1.520553565,0.2687679505
