Date,"Monday, February 13, 2023"
,
Trail,4
Seconds - s,40
Starting Temp - C,
Ending Temp - C,
Retarding Voltage - V,
Result,Success
,
time (s),V1 Potential 3
0.00,-1.46060920
0.02,0.84292193
0.04,1.41880472
0.06,-0.30884363
0.08,-1.46060920
0.10,-2.03649199
0.12,0.26703915
0.14,0.84292193
0.16,-0.88472642
0.18,-1.46060920
0.20,-1.46060920
0.22,1.41880472
0.24,0.84292193
0.26,-0.30884363
0.28,-1.46060920
0.30,-1.46060920
0.32,0.84292193
0.34,2.57057029
0.36,-0.30884363
0.38,-3.18825755
0.40,-3.76414034
0.42,1.41880472
0.44,2.57057029
0.46,-0.30884363
0.48,-3.18825755
0.50,-3.18825755
0.52,1.41880472
0.54,1.99468750
0.56,-0.30884363
0.58,-3.18825755
0.60,-3.76414034
0.62,1.41880472
0.64,1.99468750
0.66,-0.30884363
0.68,-3.18825755
0.70,-3.76414034
0.72,0.26703915
0.74,0.26703915
0.76,-0.88472642
0.78,-1.46060920
0.80,-2.03649199
0.82,0.84292193
0.84,0.26703915
0.86,-0.88472642
0.88,-1.46060920
0.90,-2.03649199
0.92,0.84292193
0.94,0.26703915
0.96,-0.30884363
0.98,-1.46060920
1.00,-2.03649199
1.02,0.84292193
1.04,0.26703915
1.06,-0.88472642
1.08,-1.46060920
1.10,-2.03649199
1.12,0.26703915
1.14,0.26703915
1.16,0.26703915
1.18,-3.18825755
1.20,-3.18825755
1.22,1.41880472
1.24,1.99468750
1.26,-0.30884363
1.28,-3.18825755
1.30,-3.18825755
1.32,1.41880472
1.34,1.99468750
1.36,-0.30884363
1.38,-3.18825755
1.40,-3.18825755
1.42,1.41880472
1.44,1.99468750
1.46,-0.30884363
1.48,-3.18825755
1.50,-3.18825755
1.52,0.84292193
1.54,-0.30884363
1.56,-1.46060920
1.58,-2.03649199
1.60,-2.03649199
1.62,0.26703915
1.64,0.26703915
1.66,-0.30884363
1.68,-1.46060920
1.70,-1.46060920
1.72,0.84292193
1.74,-0.30884363
1.76,-0.88472642
1.78,-2.03649199
1.80,-2.03649199
1.82,0.84292193
1.84,-0.30884363
1.86,-0.88472642
1.88,-1.46060920
1.90,-1.46060920
1.92,1.41880472
1.94,0.26703915
1.96,-0.30884363
1.98,-3.18825755
2.00,-3.18825755
2.02,1.41880472
2.04,1.41880472
2.06,-0.88472642
2.08,-3.76414034
2.10,-3.18825755
2.12,0.84292193
2.14,1.41880472
2.16,-0.30884363
2.18,-3.18825755
2.20,-2.61237477
2.22,1.99468750
2.24,1.99468750
2.26,-0.88472642
2.28,-3.76414034
2.30,-3.18825755
2.32,1.41880472
2.34,-0.88472642
2.36,-0.88472642
2.38,-2.03649199
2.40,-1.46060920
2.42,0.84292193
2.44,0.26703915
2.46,-0.88472642
2.48,-1.46060920
2.50,-2.03649199
2.52,0.84292193
2.54,-0.30884363
2.56,-1.46060920
2.58,-2.03649199
2.60,-1.46060920
2.62,0.26703915
2.64,0.26703915
2.66,-0.88472642
2.68,-1.46060920
2.70,-1.46060920
2.72,0.84292193
2.74,-0.30884363
2.76,-0.88472642
2.78,-3.18825755
2.80,-3.18825755
2.82,1.41880472
2.84,1.41880472
2.86,-0.88472642
2.88,-3.18825755
2.90,-2.61237477
2.92,1.99468750
2.94,1.99468750
2.96,-0.88472642
2.98,-3.76414034
3.00,-3.18825755
3.02,1.41880472
3.04,0.84292193
3.06,-0.88472642
3.08,-3.76414034
3.10,-2.61237477
3.12,1.99468750
3.14,-0.30884363
3.16,-0.88472642
3.18,-1.46060920
3.20,-1.46060920
3.22,0.84292193
3.24,-0.30884363
3.26,-1.46060920
3.28,-2.03649199
3.30,-2.03649199
3.32,0.26703915
3.34,-0.30884363
3.36,-1.46060920
3.38,-1.46060920
3.40,-1.46060920
3.42,0.84292193
3.44,-0.30884363
3.46,-0.30884363
3.48,-1.46060920
3.50,-2.03649199
3.52,0.84292193
3.54,-0.30884363
3.56,-0.88472642
3.58,-3.18825755
3.60,-2.61237477
3.62,1.99468750
3.64,1.99468750
3.66,-0.30884363
3.68,-3.18825755
3.70,-2.03649199
3.72,1.99468750
3.74,1.41880472
3.76,-0.88472642
3.78,-3.76414034
3.80,-2.61237477
3.82,1.99468750
3.84,1.41880472
3.86,-0.88472642
3.88,-3.18825755
3.90,-2.61237477
3.92,2.57057029
3.94,1.99468750
3.96,-0.88472642
3.98,-1.46060920
4.00,-0.88472642
4.02,0.84292193
4.04,-0.30884363
4.06,-1.46060920
4.08,-2.03649199
4.10,-2.03649199
4.12,0.84292193
4.14,-0.30884363
4.16,-0.88472642
4.18,-1.46060920
4.20,-0.88472642
4.22,1.41880472
4.24,0.26703915
4.26,-0.88472642
4.28,-1.46060920
4.30,-1.46060920
4.32,0.84292193
4.34,-0.30884363
4.36,-0.88472642
4.38,-3.18825755
4.40,-1.46060920
4.42,3.14645307
4.44,2.57057029
4.46,-0.30884363
4.48,-2.61237477
4.50,-1.46060920
4.52,2.57057029
4.54,1.41880472
4.56,-0.88472642
4.58,-3.18825755
4.60,-2.03649199
4.62,2.57057029
4.64,1.41880472
4.66,-0.30884363
4.68,-2.61237477
4.70,-1.46060920
4.72,2.57057029
4.74,1.99468750
4.76,-0.30884363
4.78,-0.88472642
4.80,-0.88472642
4.82,1.41880472
4.84,-0.30884363
4.86,-0.88472642
4.88,-1.46060920
4.90,-0.88472642
4.92,1.99468750
4.94,0.84292193
4.96,-0.30884363
4.98,-0.30884363
5.00,-0.30884363
5.02,1.99468750
5.04,0.84292193
5.06,-0.30884363
5.08,-1.46060920
5.10,-0.30884363
5.12,1.99468750
5.14,-0.30884363
5.16,-0.30884363
5.18,-2.03649199
5.20,-0.30884363
5.22,3.72233585
5.24,2.57057029
5.26,-0.30884363
5.28,-2.03649199
5.30,-0.88472642
5.32,2.57057029
5.34,1.99468750
5.36,-0.88472642
5.38,-3.18825755
5.40,-1.46060920
5.42,3.14645307
5.44,2.57057029
5.46,-0.30884363
5.48,-2.03649199
5.50,-0.88472642
5.52,3.14645307
5.54,2.57057029
5.56,-0.30884363
5.58,-1.46060920
5.60,-0.88472642
5.62,1.41880472
5.64,-0.30884363
5.66,-0.30884363
5.68,-1.46060920
5.70,-0.30884363
5.72,1.99468750
5.74,0.26703915
5.76,-0.30884363
5.78,-0.88472642
5.80,-0.30884363
5.82,1.99468750
5.84,-0.30884363
5.86,-0.30884363
5.88,-1.46060920
5.90,-0.30884363
5.92,1.41880472
5.94,-0.30884363
5.96,-0.30884363
5.98,-0.30884363
6.00,-0.88472642
6.02,3.72233585
6.04,2.57057029
6.06,-0.30884363
6.08,-2.03649199
6.10,-0.88472642
6.12,3.14645307
6.14,1.99468750
6.16,-0.30884363
6.18,-2.61237477
6.20,-1.46060920
6.22,3.14645307
6.24,1.99468750
6.26,-0.30884363
6.28,-2.03649199
6.30,-0.30884363
6.32,3.14645307
6.34,2.57057029
6.36,-0.30884363
6.38,-0.88472642
6.40,-0.30884363
6.42,1.99468750
6.44,0.26703915
6.46,-0.30884363
6.48,-0.88472642
6.50,0.26703915
6.52,2.57057029
6.54,1.41880472
6.56,0.26703915
6.58,-0.30884363
6.60,0.84292193
6.62,2.57057029
6.64,0.84292193
6.66,0.26703915
6.68,-0.88472642
6.70,0.26703915
6.72,2.57057029
6.74,0.84292193
6.76,0.84292193
6.78,0.26703915
6.80,0.84292193
6.82,4.87410142
6.84,3.14645307
6.86,0.84292193
6.88,-1.46060920
6.90,0.26703915
6.92,3.72233585
6.94,2.57057029
6.96,0.26703915
6.98,-2.03649199
7.00,0.26703915
7.02,4.87410142
7.04,3.72233585
7.06,1.41880472
7.08,-0.88472642
7.10,0.84292193
7.12,4.87410142
7.14,3.72233585
7.16,0.84292193
7.18,-0.30884363
7.20,1.41880472
7.22,3.72233585
7.24,1.99468750
7.26,1.41880472
7.28,1.41880472
7.30,2.57057029
7.32,4.29821864
7.34,2.57057029
7.36,2.57057029
7.38,1.41880472
7.40,2.57057029
7.42,4.29821864
7.44,2.57057029
7.46,1.99468750
7.48,1.41880472
7.50,2.57057029
7.52,4.87410142
7.54,2.57057029
7.56,2.57057029
7.58,1.99468750
7.60,2.57057029
7.62,6.60174977
7.64,4.87410142
7.66,1.99468750
7.68,-0.30884363
7.70,1.99468750
7.72,5.44998421
7.74,4.29821864
7.76,1.41880472
7.78,-0.88472642
7.80,1.41880472
7.82,6.02586699
7.84,4.29821864
7.86,1.99468750
7.88,-0.30884363
7.90,1.99468750
7.92,5.44998421
7.94,3.72233585
7.96,1.41880472
7.98,-0.88472642
8.00,1.99468750
8.02,3.72233585
8.04,1.99468750
8.06,1.41880472
8.08,0.84292193
8.10,2.57057029
8.12,4.29821864
8.14,1.99468750
8.16,1.99468750
8.18,0.84292193
8.20,1.99468750
8.22,3.72233585
8.24,1.41880472
8.26,0.84292193
8.28,0.26703915
8.30,1.41880472
8.32,3.72233585
8.34,1.99468750
8.36,1.41880472
8.38,0.84292193
8.40,1.99468750
8.42,5.44998421
8.44,3.72233585
8.46,0.84292193
8.48,-2.03649199
8.50,0.84292193
8.52,4.87410142
8.54,2.57057029
8.56,0.84292193
8.58,-2.03649199
8.60,0.84292193
8.62,4.87410142
8.64,3.14645307
8.66,0.84292193
8.68,-1.46060920
8.70,0.84292193
8.72,4.29821864
8.74,2.57057029
8.76,-0.30884363
8.78,-2.61237477
8.80,0.26703915
8.82,2.57057029
8.84,0.84292193
8.86,0.26703915
8.88,-0.30884363
8.90,1.41880472
8.92,3.72233585
8.94,1.41880472
8.96,0.84292193
8.98,-0.30884363
9.00,0.84292193
9.02,3.14645307
9.04,0.84292193
9.06,0.84292193
9.08,-0.30884363
9.10,1.41880472
9.12,3.72233585
9.14,1.99468750
9.16,1.41880472
9.18,0.26703915
9.20,1.99468750
9.22,5.44998421
9.24,3.14645307
9.26,0.84292193
9.28,-1.46060920
9.30,0.84292193
