Date,"Monday, February 13, 2023"
,
Trail,2
Seconds - s,20
Starting Temp - C,
Ending Temp - C,
Retarding Voltage - V,
Result,Failure
,
time (s),V1 Potential 3
0,24.07192686
0.02,78.78079133
0.04,95.48139206
0.06,83.3878536
0.08,80.50843968
0.1,102.3919855
0.12,149.6143737
0.14,161.7079122
0.16,161.7079122
0.18,189.3502858
0.2,189.9261686
0.22,208.3544177
0.24,171.4979195
0.26,145.5831943
0.28,106.423165
0.3,97.78492319
0.32,111.60611
0.34,69.56666678
0.36,40.19664481
0.38,-1.266915634
0.4,-9.905157392
0.42,3.340146637
0.44,-40.42694494
0.46,-70.94873248
0.48,-114.1399413
0.5,-100.8946372
0.52,-79.58697424
0.54,-121.0505347
0.56,-154.4517361
0.58,-199.9464761
0.6,-210.888249
0.62,-198.7947105
0.64,-241.9859193
0.66,-277.1147691
0.68,-322.0336263
0.7,-332.9753992
0.72,-320.8818607
0.74,-364.0730695
0.76,-398.0501537
0.78,-444.1207764
0.8,-454.4866666
0.82,-441.8172453
0.84,-485.0084541
0.86,-517.8337728
0.88,-590.3950035
0.9,-607.0956043
0.92,-596.7297142
0.94,-638.7691574
0.96,-668.7150622
0.98,-710.7545054
1,-720.5445127
1.02,-709.026857
1.04,-750.4904175
1.06,-780.4363222
1.08,-822.4757655
1.1,-832.2657728
1.12,-819.5963515
1.14,-861.6357948
1.16,-872.0016849
1.18,-872.0016849
1.2,-872.5775676
1.22,-872.5775676
1.24,-872.5775676
1.26,-872.5775676
1.28,-872.5775676
1.3,-872.0016849
1.32,-872.0016849
1.34,-872.0016849
1.36,-872.5775676
1.38,-872.5775676
1.4,-872.5775676
1.42,-872.5775676
1.44,-872.0016849
1.46,-872.5775676
1.48,-872.5775676
1.5,-872.5775676
1.52,-872.5775676
1.54,-872.5775676
1.56,-873.1534504
1.58,-872.5775676
1.6,-872.5775676
1.62,-872.0016849
1.64,-872.5775676
1.66,-872.5775676
1.68,-873.1534504
1.7,-872.5775676
1.72,-873.1534504
1.74,-873.1534504
1.76,-872.5775676
1.78,-872.5775676
1.8,-873.1534504
1.82,-872.5775676
1.84,-872.5775676
1.86,-873.1534504
1.88,-873.1534504
1.9,-873.1534504
1.92,-873.1534504
1.94,-873.7293332
1.96,-873.1534504
1.98,-873.1534504
2,-872.5775676
2.02,-872.5775676
2.04,-873.1534504
2.06,-873.1534504
2.08,-873.7293332
2.1,-873.7293332
2.12,-873.7293332
2.14,-873.7293332
2.16,-873.7293332
2.18,-873.7293332
2.2,-873.7293332
2.22,-873.1534504
2.24,-873.1534504
2.26,-873.1534504
2.28,-873.1534504
2.3,-873.1534504
2.32,-873.1534504
2.34,-873.1534504
2.36,-873.7293332
2.38,-873.7293332
2.4,-873.7293332
2.42,-873.7293332
