Date,"Monday, February 13, 2023"
,
Trail,5
Seconds - s,30
Starting Temp - C,180.6 +- 0.1
Ending Temp - C,181 +- 0.2
Retarding Voltage - V,1.5025 +- 0.0005
Result,Success
,
time (s),V1 Potential 3
0,-1.383887793
0.02,3.223174478
0.04,2.07140891
0.06,-0.808005009
0.08,-2.535653361
0.1,-1.383887793
0.12,2.647291694
0.14,2.07140891
0.16,-1.383887793
0.18,-3.687418929
0.2,-1.383887793
0.22,2.647291694
0.24,1.495526126
0.26,-0.808005009
0.28,-1.383887793
0.3,-0.232122225
0.32,1.495526126
0.34,-0.232122225
0.36,-0.808005009
0.38,-1.959770577
0.4,-0.232122225
0.42,0.919643342
0.44,-0.808005009
0.46,-0.808005009
0.48,-1.959770577
0.5,-0.808005009
0.52,1.495526126
0.54,-0.232122225
0.56,-0.808005009
0.58,-3.111536145
0.6,-0.808005009
0.62,2.647291694
0.64,0.919643342
0.66,-1.383887793
0.68,-3.687418929
0.7,-1.383887793
0.72,2.647291694
0.74,0.919643342
0.76,-1.383887793
0.78,-4.263301713
0.8,-1.383887793
0.82,2.07140891
0.84,0.919643342
0.86,-1.383887793
0.88,-3.687418929
0.9,-1.383887793
0.92,2.647291694
0.94,0.919643342
0.96,-1.383887793
0.98,-4.263301713
1,-1.383887793
1.02,2.647291694
1.04,0.919643342
1.06,-1.959770577
1.08,-2.535653361
1.1,-0.808005009
1.12,1.495526126
1.14,-0.808005009
1.16,-0.808005009
1.18,-2.535653361
1.2,-0.232122225
1.22,0.919643342
1.24,-0.808005009
1.26,-1.383887793
1.28,-2.535653361
1.3,-0.808005009
1.32,0.919643342
1.34,-0.808005009
1.36,-1.959770577
1.38,-3.687418929
1.4,-0.808005009
1.42,3.223174478
1.44,0.919643342
1.46,-1.383887793
1.48,-4.263301713
1.5,-0.808005009
1.52,3.223174478
1.54,1.495526126
1.56,-1.959770577
1.58,-4.263301713
1.6,-0.808005009
1.62,2.647291694
1.64,0.919643342
1.66,-1.959770577
1.68,-4.839184497
1.7,-0.808005009
1.72,3.223174478
1.74,0.919643342
1.76,-1.959770577
1.78,-4.263301713
1.8,-0.808005009
1.82,3.223174478
1.84,0.343760558
1.86,-1.959770577
1.88,-3.687418929
1.9,-0.808005009
1.92,0.919643342
1.94,-1.383887793
1.96,-1.959770577
1.98,-2.535653361
2,-0.232122225
2.02,1.495526126
2.04,-0.808005009
2.06,-0.808005009
2.08,-2.535653361
2.1,-0.232122225
2.12,0.919643342
2.14,-0.808005009
2.16,-1.383887793
2.18,-4.263301713
2.2,-0.808005009
2.22,2.647291694
2.24,0.343760558
2.26,-1.959770577
2.28,-4.263301713
2.3,-0.232122225
2.32,3.223174478
2.34,0.919643342
2.36,-1.383887793
2.38,-4.263301713
2.4,-0.232122225
2.42,3.223174478
2.44,0.343760558
2.46,-2.535653361
2.48,-4.839184497
2.5,-0.808005009
2.52,2.647291694
2.54,0.343760558
2.56,-1.959770577
2.58,-4.263301713
2.6,-0.232122225
2.62,3.223174478
2.64,0.919643342
2.66,-1.959770577
2.68,-4.263301713
2.7,-0.232122225
2.72,0.919643342
2.74,-1.383887793
2.76,-1.959770577
2.78,-3.111536145
2.8,-0.808005009
2.82,0.919643342
2.84,-0.808005009
2.86,-1.383887793
2.88,-2.535653361
2.9,-0.232122225
2.92,1.495526126
2.94,-0.808005009
2.96,-1.383887793
2.98,-4.263301713
3,-0.232122225
3.02,2.647291694
