time (s),V1 Potential 3,potential 2
3.54,-4.070559504,-0.004884362
3.56,-2.342911152,-0.004884362
3.58,1.112385551,-0.004884362
3.6,1.112385551,-0.004884362
3.62,-1.191145584,-0.004884362
3.64,-3.49467672,-3.58E-07
3.66,-2.918793936,-0.004884362
3.68,1.112385551,-0.004884362
3.7,2.264151119,-3.58E-07
3.72,-1.767028368,-0.004884362
3.74,-4.070559504,-0.004884362
3.76,-2.342911152,-0.004884362
3.78,0.536502767,-0.004884362
3.8,1.112385551,-0.004884362
3.82,-1.191145584,-0.004884362
3.84,-4.070559504,-0.004884362
3.86,-2.918793936,-0.004884362
3.88,-0.039380017,-0.004884362
3.9,-0.039380017,-3.58E-07
3.92,-1.191145584,-3.58E-07
3.94,-1.767028368,-0.004884362
3.96,-2.342911152,-0.004884362
3.98,-0.6152628,-0.004884362
4,-0.039380017,-0.004884362
4.02,-1.767028368,-0.004884362
4.04,-2.342911152,-0.004884362
4.06,-1.767028368,-0.004884362
4.08,-0.6152628,-0.009768367
4.1,-0.6152628,-0.004884362
4.12,-0.6152628,-3.58E-07
4.14,-2.342911152,-0.004884362
4.16,-1.767028368,-0.004884362
4.18,-0.039380017,-0.004884362
4.2,-0.039380017,-0.004884362
4.22,-1.191145584,-0.004884362
4.24,-1.767028368,-0.004884362
4.26,-1.767028368,-0.004884362
4.28,-1.191145584,-0.009768367
4.3,-0.039380017,-0.009768367
4.32,-0.6152628,-0.004884362
4.34,-4.070559504,-0.004884362
4.36,-2.342911152,-0.004884362
4.38,1.688268335,-3.58E-07
4.4,1.688268335,-0.004884362
4.42,-0.6152628,-3.58E-07
4.44,-3.49467672,-0.004884362
4.46,-2.918793936,-0.004884362
4.48,1.112385551,0.004883647
4.5,2.264151119,-0.004884362
4.52,-1.191145584,-0.004884362
4.54,-3.49467672,-0.004884362
4.56,-2.918793936,-0.004884362
4.58,0.536502767,-0.009768367
4.6,1.688268335,-0.004884362
4.62,-0.6152628,-3.58E-07
4.64,-4.070559504,-0.004884362
4.66,-2.342911152,-0.004884362
4.68,1.112385551,-3.58E-07
4.7,-0.039380017,-0.004884362
4.72,-1.191145584,-0.004884362
4.74,-1.767028368,-3.58E-07
4.76,-2.342911152,-3.58E-07
4.78,-0.6152628,-0.004884362
4.8,0.536502767,-3.58E-07
4.82,-1.191145584,-3.58E-07
4.84,-2.342911152,-0.004884362
4.86,-1.767028368,-0.004884362
4.88,-0.6152628,-0.004884362
4.9,-0.039380017,-0.004884362
4.92,-0.6152628,-0.004884362
4.94,-1.767028368,-0.004884362
4.96,-2.342911152,-0.004884362
4.98,-0.039380017,-3.58E-07
5,-0.039380017,-0.004884362
5.02,-1.191145584,-0.004884362
5.04,-1.767028368,-0.004884362
5.06,-2.342911152,-0.004884362
5.08,-0.6152628,-0.004884362
5.1,-0.039380017,-0.004884362
5.12,-1.191145584,-0.004884362
5.14,-3.49467672,-0.004884362
5.16,-2.342911152,-0.004884362
5.18,0.536502767,-0.004884362
5.2,1.688268335,-3.58E-07
5.22,-0.039380017,-3.58E-07
5.24,-4.070559504,-0.004884362
5.26,-3.49467672,-0.004884362
5.28,1.112385551,-3.58E-07
5.3,1.688268335,-3.58E-07
5.32,-1.191145584,-0.004884362
5.34,-3.49467672,-0.004884362
5.36,-2.918793936,-0.004884362
5.38,-0.039380017,-0.004884362
5.4,2.264151119,-0.009768367
5.42,-0.039380017,-0.004884362
5.44,-3.49467672,-0.004884362
5.46,-2.918793936,-0.004884362
5.48,0.536502767,-0.004884362
5.5,1.688268335,-0.004884362
5.52,-0.6152628,-0.004884362
5.54,-1.767028368,-0.004884362
5.56,-2.342911152,-0.004884362
5.58,-0.6152628,-0.004884362
5.6,-0.039380017,-0.004884362
5.62,-1.191145584,-3.58E-07
